0.34, 0.30
0.44, 0.60
0.34, 0.90
0.44, 1.20
0.34, 1.50
0.44, 1.80
0.14, 1.62
0.64, 0.50
0.64, 0.88
0.64, 1.26
0.64, 1.64
0.69, 2.04
0.82, 0.29
1.10, 0.29
0.96, 0.42
0.96, 0.62
1.29, 0.29
1.19, 0.57
1.09, 0.85
1.60, 0.64
1.60, 0.85
2.12, 1.79
2.08, 1.35
2.08, 0.91
2.12, 0.47
2.37, 1.69
2.34, 1.32
2.34, 0.94
2.37, 0.57
2.44, 0.21
2.71, 0.53
2.86, 0.92
2.86, 1.34
2.71, 1.73
2.44, 2.05
3.17, 0.24
3.17, 0.52
3.17, 0.80
3.17, 1.02
3.55, 0.17
3.36, 0.17
3.36, 0.49
3.36, 0.80
3.36, 1.10
3.55, 1.10
3.87, 0.64
3.87, 0.85
4.39, 1.79
4.35, 1.35
4.35, 0.91
4.39, 0.47
4.64, 1.69
4.61, 1.32
4.61, 0.94
4.64, 0.57
4.71, 0.21
4.98, 0.53
5.13, 0.92
5.13, 1.34
4.98, 1.73
4.71, 2.05
5.37, 0.98
5.37, 0.61
5.40, 0.30
5.62, 0.18
5.84, 0.30
5.87, 0.61
5.87, 0.98
5.54, 0.45
5.54, 0.74
5.54, 1.03
6.17, 0.62
6.16, 0.95
6.14, 1.28
6.13, 1.61
6.12, 1.94
6.32, 0.62
6.32, 0.95
6.33, 1.28
6.33, 1.61
6.33, 1.94
6.25, 0.26
3.00, 3.42
3.20, 3.22
3.20, 2.82
3.00, 2.62
2.80, 2.82
2.80, 3.22
3.00, 3.02
3.80, 3.42
4.00, 3.22
4.00, 2.82
3.80, 2.62
3.60, 2.82
3.60, 3.22
3.80, 3.02
